Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"12/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"12/04/2023";"Temperatura media  atura a 1.5m";"10.11";"1";"ºC"
"13/04/2023";"Lluvia";"2.1";"1";"L/m2"
"13/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"13/04/2023";"Temperatura media  atura a 1.5m";"8.78";"1";"ºC"
"14/04/2023";"Lluvia";"11.6";"1";"L/m2"
"14/04/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"14/04/2023";"Temperatura media  atura a 1.5m";"13.22";"1";"ºC"
"15/04/2023";"Lluvia";"0.0";"1";"L/m2"
"15/04/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"15/04/2023";"Temperatura media  atura a 1.5m";"14.03";"1";"ºC"
"16/04/2023";"Lluvia";"0.0";"1";"L/m2"
"16/04/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"16/04/2023";"Temperatura media  atura a 1.5m";"17.16";"1";"ºC"
"17/04/2023";"Lluvia";"0.0";"1";"L/m2"
"17/04/2023";"Humedad relativa media a 1.5m";"53";"1";"%"
"17/04/2023";"Temperatura media  atura a 1.5m";"18.50";"1";"ºC"
"18/04/2023";"Lluvia";"0.0";"1";"L/m2"
"18/04/2023";"Humedad relativa media a 1.5m";"50";"1";"%"
"18/04/2023";"Temperatura media  atura a 1.5m";"16.54";"1";"ºC"
"19/04/2023";"Lluvia";"0.0";"1";"L/m2"
"19/04/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"19/04/2023";"Temperatura media  atura a 1.5m";"14.24";"1";"ºC"
"20/04/2023";"Lluvia";"0.0";"1";"L/m2"
"20/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"20/04/2023";"Temperatura media  atura a 1.5m";"13.57";"1";"ºC"
"21/04/2023";"Lluvia";"5.4";"1";"L/m2"
"21/04/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"21/04/2023";"Temperatura media  atura a 1.5m";"10.60";"1";"ºC"
"22/04/2023";"Lluvia";"31.7";"1";"L/m2"
"22/04/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"22/04/2023";"Temperatura media  atura a 1.5m";"12.24";"1";"ºC"
"23/04/2023";"Lluvia";"27.7";"1";"L/m2"
"23/04/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"23/04/2023";"Temperatura media  atura a 1.5m";"14.20";"1";"ºC"
"24/04/2023";"Lluvia";"2.7";"1";"L/m2"
"24/04/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"24/04/2023";"Temperatura media  atura a 1.5m";"14.30";"1";"ºC"
"25/04/2023";"Lluvia";"0.0";"1";"L/m2"
"25/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"25/04/2023";"Temperatura media  atura a 1.5m";"14.43";"1";"ºC"
"26/04/2023";"Lluvia";"0.0";"1";"L/m2"
"26/04/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"26/04/2023";"Temperatura media  atura a 1.5m";"16.22";"1";"ºC"
"27/04/2023";"Lluvia";"0.0";"1";"L/m2"
"27/04/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"27/04/2023";"Temperatura media  atura a 1.5m";"17.75";"1";"ºC"
"28/04/2023";"Lluvia";"0.0";"1";"L/m2"
"28/04/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"28/04/2023";"Temperatura media  atura a 1.5m";"17.26";"1";"ºC"
"29/04/2023";"Lluvia";"0.3";"1";"L/m2"
"29/04/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"29/04/2023";"Temperatura media  atura a 1.5m";"15.98";"1";"ºC"
"30/04/2023";"Lluvia";"0.0";"1";"L/m2"
"30/04/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"30/04/2023";"Temperatura media  atura a 1.5m";"15.74";"1";"ºC"
"01/05/2023";"Lluvia";"0.0";"1";"L/m2"
