Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Ourense";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"30/03/2023";"Humedad relativa media a 1.5m";"58";"1";"%"
"30/03/2023";"Temperatura media  atura a 1.5m";"16.91";"1";"ºC"
"31/03/2023";"Lluvia";"0.0";"1";"L/m2"
"31/03/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"31/03/2023";"Temperatura media  atura a 1.5m";"15.32";"1";"ºC"
"01/04/2023";"Lluvia";"0.0";"1";"L/m2"
"01/04/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"01/04/2023";"Temperatura media  atura a 1.5m";"13.37";"1";"ºC"
"02/04/2023";"Lluvia";"0.0";"1";"L/m2"
"02/04/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"02/04/2023";"Temperatura media  atura a 1.5m";"10.63";"1";"ºC"
"03/04/2023";"Lluvia";"0.4";"1";"L/m2"
"03/04/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"03/04/2023";"Temperatura media  atura a 1.5m";"9.74";"1";"ºC"
"04/04/2023";"Lluvia";"0.0";"1";"L/m2"
"04/04/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"04/04/2023";"Temperatura media  atura a 1.5m";"13.79";"1";"ºC"
"05/04/2023";"Lluvia";"0.0";"1";"L/m2"
"05/04/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"05/04/2023";"Temperatura media  atura a 1.5m";"13.57";"1";"ºC"
"06/04/2023";"Lluvia";"0.0";"1";"L/m2"
"06/04/2023";"Humedad relativa media a 1.5m";"49";"1";"%"
"06/04/2023";"Temperatura media  atura a 1.5m";"14.96";"1";"ºC"
"07/04/2023";"Lluvia";"0.0";"1";"L/m2"
"07/04/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"07/04/2023";"Temperatura media  atura a 1.5m";"15.19";"1";"ºC"
"08/04/2023";"Lluvia";"0.0";"1";"L/m2"
"08/04/2023";"Humedad relativa media a 1.5m";"56";"1";"%"
"08/04/2023";"Temperatura media  atura a 1.5m";"15.91";"1";"ºC"
