Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Campus Lugo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"21/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"21/04/2023";"Temperatura media  atura a 1.5m";"11.21";"1";"ºC"
"22/04/2023";"Lluvia";"4.5";"1";"L/m2"
"22/04/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"22/04/2023";"Temperatura media  atura a 1.5m";"11.29";"1";"ºC"
"23/04/2023";"Lluvia";"19.7";"1";"L/m2"
"23/04/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"23/04/2023";"Temperatura media  atura a 1.5m";"13.72";"1";"ºC"
"24/04/2023";"Lluvia";"0.4";"1";"L/m2"
"24/04/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"24/04/2023";"Temperatura media  atura a 1.5m";"14.46";"1";"ºC"
"25/04/2023";"Lluvia";"0.0";"1";"L/m2"
"25/04/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"25/04/2023";"Temperatura media  atura a 1.5m";"15.27";"1";"ºC"
"26/04/2023";"Lluvia";"0.0";"1";"L/m2"
"26/04/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"26/04/2023";"Temperatura media  atura a 1.5m";"18.72";"1";"ºC"
"27/04/2023";"Lluvia";"0.0";"1";"L/m2"
"27/04/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"27/04/2023";"Temperatura media  atura a 1.5m";"19.54";"1";"ºC"
"28/04/2023";"Lluvia";"0.0";"1";"L/m2"
"28/04/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"28/04/2023";"Temperatura media  atura a 1.5m";"17.41";"1";"ºC"
"29/04/2023";"Lluvia";"0.0";"1";"L/m2"
"29/04/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"29/04/2023";"Temperatura media  atura a 1.5m";"15.77";"1";"ºC"
"30/04/2023";"Lluvia";"0.0";"1";"L/m2"
"30/04/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"30/04/2023";"Temperatura media  atura a 1.5m";"15.56";"1";"ºC"
"01/05/2023";"Lluvia";"0.0";"1";"L/m2"
"01/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"01/05/2023";"Temperatura media  atura a 1.5m";"15.69";"1";"ºC"
"02/05/2023";"Lluvia";"0.0";"1";"L/m2"
"02/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"02/05/2023";"Temperatura media  atura a 1.5m";"18.76";"1";"ºC"
"03/05/2023";"Lluvia";"4.7";"1";"L/m2"
"03/05/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"03/05/2023";"Temperatura media  atura a 1.5m";"16.87";"1";"ºC"
"04/05/2023";"Lluvia";"2.4";"1";"L/m2"
"04/05/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"04/05/2023";"Temperatura media  atura a 1.5m";"15.03";"1";"ºC"
"05/05/2023";"Lluvia";"0.0";"1";"L/m2"
"05/05/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"05/05/2023";"Temperatura media  atura a 1.5m";"15.42";"1";"ºC"
"06/05/2023";"Lluvia";"10.1";"1";"L/m2"
"06/05/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"06/05/2023";"Temperatura media  atura a 1.5m";"15.35";"1";"ºC"
"07/05/2023";"Lluvia";"0.0";"1";"L/m2"
"07/05/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"07/05/2023";"Temperatura media  atura a 1.5m";"16.46";"1";"ºC"
"08/05/2023";"Lluvia";"0.0";"1";"L/m2"
"08/05/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"08/05/2023";"Temperatura media  atura a 1.5m";"16.21";"1";"ºC"
"09/05/2023";"Lluvia";"1.6";"1";"L/m2"
"09/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"09/05/2023";"Temperatura media  atura a 1.5m";"15.79";"1";"ºC"
"10/05/2023";"Lluvia";"0.0";"1";"L/m2"
"10/05/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"10/05/2023";"Temperatura media  atura a 1.5m";"10.93";"1";"ºC"
"11/05/2023";"Lluvia";"0.0";"1";"L/m2"
"11/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"11/05/2023";"Temperatura media  atura a 1.5m";"11.02";"1";"ºC"
"12/05/2023";"Lluvia";"2.2";"1";"L/m2"
"12/05/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"12/05/2023";"Temperatura media  atura a 1.5m";"11.19";"1";"ºC"
"13/05/2023";"Lluvia";"0.3";"1";"L/m2"
