Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Coruña-Torre de Hércules";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"22/04/2023";"Temperatura media  atura a 1.5m";"15.78";"1";"ºC"
"23/04/2023";"Lluvia";"2.7";"1";"L/m2"
"23/04/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"23/04/2023";"Temperatura media  atura a 1.5m";"15.57";"1";"ºC"
"24/04/2023";"Lluvia";"0.6";"1";"L/m2"
"24/04/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"24/04/2023";"Temperatura media  atura a 1.5m";"17.54";"1";"ºC"
"25/04/2023";"Lluvia";"0.0";"1";"L/m2"
"25/04/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"25/04/2023";"Temperatura media  atura a 1.5m";"18.20";"1";"ºC"
"26/04/2023";"Lluvia";"0.0";"1";"L/m2"
"26/04/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"26/04/2023";"Temperatura media  atura a 1.5m";"17.85";"1";"ºC"
"27/04/2023";"Lluvia";"0.0";"1";"L/m2"
"27/04/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"27/04/2023";"Temperatura media  atura a 1.5m";"16.99";"1";"ºC"
"28/04/2023";"Lluvia";"0.0";"1";"L/m2"
"28/04/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"28/04/2023";"Temperatura media  atura a 1.5m";"15.91";"1";"ºC"
"29/04/2023";"Lluvia";"0.0";"1";"L/m2"
"29/04/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"29/04/2023";"Temperatura media  atura a 1.5m";"16.05";"1";"ºC"
"30/04/2023";"Lluvia";"0.0";"1";"L/m2"
"30/04/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"30/04/2023";"Temperatura media  atura a 1.5m";"16.16";"1";"ºC"
"01/05/2023";"Lluvia";"0.0";"1";"L/m2"
"01/05/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"01/05/2023";"Temperatura media  atura a 1.5m";"16.50";"1";"ºC"
"02/05/2023";"Lluvia";"0.0";"1";"L/m2"
"02/05/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"02/05/2023";"Temperatura media  atura a 1.5m";"18.10";"1";"ºC"
"03/05/2023";"Lluvia";"1.2";"1";"L/m2"
"03/05/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"03/05/2023";"Temperatura media  atura a 1.5m";"20.72";"1";"ºC"
"04/05/2023";"Lluvia";"1.2";"1";"L/m2"
"04/05/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"04/05/2023";"Temperatura media  atura a 1.5m";"17.50";"1";"ºC"
"05/05/2023";"Lluvia";"1.1";"1";"L/m2"
"05/05/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"05/05/2023";"Temperatura media  atura a 1.5m";"18.98";"1";"ºC"
"06/05/2023";"Lluvia";"2.1";"1";"L/m2"
"06/05/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"06/05/2023";"Temperatura media  atura a 1.5m";"17.48";"1";"ºC"
"07/05/2023";"Lluvia";"0.0";"1";"L/m2"
"07/05/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"07/05/2023";"Temperatura media  atura a 1.5m";"16.97";"1";"ºC"
"08/05/2023";"Lluvia";"0.4";"1";"L/m2"
"08/05/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"08/05/2023";"Temperatura media  atura a 1.5m";"18.53";"1";"ºC"
"09/05/2023";"Lluvia";"0.4";"1";"L/m2"
"09/05/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"09/05/2023";"Temperatura media  atura a 1.5m";"17.06";"1";"ºC"
"10/05/2023";"Lluvia";"0.0";"1";"L/m2"
"10/05/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"10/05/2023";"Temperatura media  atura a 1.5m";"15.89";"1";"ºC"
"11/05/2023";"Lluvia";"0.0";"1";"L/m2"
"11/05/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"11/05/2023";"Temperatura media  atura a 1.5m";"15.57";"1";"ºC"
"12/05/2023";"Lluvia";"0.8";"1";"L/m2"
"12/05/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"12/05/2023";"Temperatura media  atura a 1.5m";"14.68";"1";"ºC"
